gene_id,LFC_DESeq2,padj_DESeq2,LFC_edgeR,padj_edgeR,mean_LFC,direction
ENSG00000099194,-2.001143587,1.88E-05,-2.000793564,0.019102278,-2.000968576,DOWN
ENSG00000264868,4.603012351,1.94E-05,4.375595497,0.014752396,4.489303924,UP
ENSG00000235109,-1.741668589,2.01E-05,-1.736340157,0.012186581,-1.739004373,DOWN
ENSG00000241399,1.701649861,2.11E-05,1.696482792,0.017042754,1.699066326,UP
ENSG00000143869,1.949655053,2.18E-05,1.947240628,0.015340071,1.948447841,UP
ENSG00000166592,-1.509795754,2.44E-05,-1.533585384,0.011256572,-1.521690569,DOWN
ENSG00000230018,2.41328881,2.44E-05,2.364382685,0.01652263,2.388835748,UP
ENSG00000123405,-2.834246731,2.67E-05,-2.80114621,0.003800217,-2.81769647,DOWN
ENSG00000116991,-2.718111644,2.74E-05,-2.738234591,0.024224686,-2.728173118,DOWN
ENSG00000117461,-1.680817412,2.97E-05,-1.694823017,0.014467908,-1.687820215,DOWN
ENSG00000116675,2.131735978,3.09E-05,2.096633451,0.012186581,2.114184715,UP
ENSG00000081052,1.972799312,3.37E-05,1.953542224,0.020393838,1.963170768,UP
ENSG00000178015,2.600593031,3.45E-05,2.531426618,0.013390299,2.566009825,UP
ENSG00000143127,3.727874753,3.47E-05,3.745034806,0.008726928,3.736454779,UP
ENSG00000132518,6.026130825,3.69E-05,6.475916807,0.020394459,6.251023816,UP
ENSG00000162630,2.853690548,3.84E-05,2.802471469,0.017492943,2.828081009,UP
ENSG00000116194,2.019203068,4.11E-05,2.008950385,0.021981524,2.014076727,UP
ENSG00000184307,1.710246702,4.42E-05,1.705386077,0.014858021,1.707816389,UP
ENSG00000177575,4.406657369,5.16E-05,4.304032829,0.001851193,4.355345099,UP
ENSG00000267480,2.388049428,5.18E-05,2.314871653,0.012729584,2.351460541,UP
ENSG00000155897,-3.966405877,5.52E-05,-3.914983243,0.021600072,-3.94069456,DOWN
ENSG00000103175,1.709092704,6.24E-05,1.692698562,0.019540364,1.700895633,UP
ENSG00000245812,1.626880283,6.87E-05,1.606273562,0.018529448,1.616576922,UP
ENSG00000137959,1.733699531,6.88E-05,1.723860309,0.014831093,1.72877992,UP
ENSG00000179300,3.018795439,7.52E-05,3.004946793,0.013252933,3.011871116,UP
ENSG00000230417,-1.569818058,7.81E-05,-1.547887618,0.009380154,-1.558852838,DOWN
ENSG00000169031,2.078029546,7.98E-05,2.037644848,0.015341408,2.057837197,UP
ENSG00000128285,-5.338693786,8.34E-05,-5.111713311,0.002098599,-5.225203548,DOWN
ENSG00000102760,3.16730691,8.86E-05,3.165283658,0.013836399,3.166295284,UP
ENSG00000185745,-1.630819563,8.97E-05,-1.656889229,0.018836998,-1.643854396,DOWN
ENSG00000133216,-1.740296726,9.31E-05,-1.724055129,0.022081442,-1.732175928,DOWN
ENSG00000211448,1.5515268,9.89E-05,1.5468601,0.021241497,1.54919345,UP
ENSG00000135472,-1.636562771,0.000125229,-1.619680494,0.020121138,-1.628121632,DOWN
ENSG00000160145,-1.634570359,0.000130688,-1.625868211,0.014236773,-1.630219285,DOWN
ENSG00000107611,-1.542723166,0.000139923,-1.539967752,0.012956498,-1.541345459,DOWN
ENSG00000188176,-3.061556372,0.000140956,-3.122731543,0.021255491,-3.092143958,DOWN
ENSG00000016391,-2.043052619,0.000141985,-2.057933061,0.024224686,-2.05049284,DOWN
ENSG00000152463,3.913820723,0.000151351,3.763064955,0.000832372,3.838442839,UP
ENSG00000100206,1.905040276,0.000156856,1.877699109,0.017502369,1.891369693,UP
ENSG00000164761,-1.535162635,0.000167934,-1.541390149,0.026025459,-1.538276392,DOWN
ENSG00000184156,2.514580062,0.000195843,2.505352398,0.012262949,2.50996623,UP
ENSG00000156675,1.545323218,0.00020054,1.537921926,0.027556674,1.541622572,UP
